cmte_id,cand_id,cand_nm,recipient_nm,disb_amt,disb_dt,recipient_city,recipient_st,recipient_zip,disb_desc,memo_cd,memo_text,form_tp,file_num,tran_id,election_tp
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","US AIRWAYS",653.1,07-OCT-15,"PHOENIX","AZ","85034","TRAVEL","X","","SB23","1057556","SBCCUV45.9622","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","US AIRWAYS",75,07-OCT-15,"PHOENIX","AZ","85034","TRAVEL","X","","SB23","1057556","SBCCUV45.9684","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","LA GRANDE ORANGE GROCERY",35.07,03-MAR-16,"PHOENIX","AZ","85018","FOOD/BEVERAGES","X","","SB23","1066253","SB23CCUV.10048","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","GRASSROOTS PARTNERS LLC",2500,15-MAR-16,"PHOENIX","AZ","85016","POLITICAL STRATEGY CONSULTING","","","SB23","1066253","SB23.956","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","GODADDY.COM",4504.73,05-JAN-16,"SCOTTSDALE","AZ","85260","SUBSCRIPTIONS","X","","SB23","1051537","SBCCUV23.4756","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","GODADDY.COM",16.7,05-JAN-16,"SCOTTSDALE","AZ","85260","SUBSCRIPTIONS","X","","SB23","1051537","SBCCUV23.4758","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","US AIRWAYS",66.1,08-SEP-15,"PHOENIX","AZ","85034","TRAVEL","X","","SB23","1053893","SB23UV.4695","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","US AIRWAYS",202.6,03-SEP-15,"PHOENIX","AZ","85034","TRAVEL","X","","SB23","1053893","SBCCUV1.10064","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","US AIRWAYS",43,03-SEP-15,"PHOENIX","AZ","85034","TRAVEL","X","","SB23","1053893","SBCCUV1.9814","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","US AIRWAYS",257.6,03-SEP-15,"PHOENIX","AZ","85034","TRAVEL","X","","SB23","1053893","SBCCUV1.9827","",
